,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym
127,AA0270,10.25378/janelia.5527759,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0270.swc,971.0,fp,,971.0,fp
128,AA0207,10.25378/janelia.5527531,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0207.swc,194.0,LHA,,194.0,LHA
129,AA0335,10.25378/janelia.7613708,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0335.swc,907.0,PCN,,907.0,PCN
130,AA0175,10.25378/janelia.5527426,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/5.FLEX-eGFP,eGFP,AA0175.swc,797.0,ZI,,797.0,ZI
131,AA0690,10.25378/janelia.7704287,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0690.swc,1084.0,PRE,,1084.0,PRE
132,AA0701,10.25378/janelia.7704356,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0701.swc,502.0,SUB,,502.0,SUB
133,AA0452,10.25378/janelia.7615274,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0452.swc,767.0,MOs5,5,993.0,MOs
134,AA0404,10.25378/janelia.7614134,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0404.swc,1021.0,MOs6a,6a,993.0,MOs
135,AA0712,10.25378/janelia.7704419,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0712.swc,74.0,VISl6a,6a,409.0,VISl
136,AA1047,10.25378/janelia.7822316,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1047.swc,1121.0,ENTl1,1,918.0,ENTl
137,AA0898,10.25378/janelia.7780814,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0898.swc,767.0,MOs5,5,993.0,MOs
138,AA1113,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1113.swc,502.0,SUB,,502.0,SUB
139,AA1063,10.25378/janelia.7825166,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1063.swc,354.0,MY,,354.0,MY
140,AA0965,10.25378/janelia.7804388,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0965.swc,1033.0,COPY,,1033.0,COPY
141,AA1086,10.25378/janelia.7825340,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1086.swc,931.0,PG,,931.0,PG
142,AA0580,10.25378/janelia.7649867,2018-04-03T15:08:17.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0580.swc,1020.0,PO,,1020.0,PO
143,AA0350,10.25378/janelia.7613816,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0350.swc,629.0,VAL,,629.0,VAL
144,AA0843,10.25378/janelia.7739918,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0843.swc,502.0,SUB,,502.0,SUB
145,AA0155,10.25378/janelia.5527360,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0155.swc,632.0,DG-sg,,632.0,DG-sg
146,AA0249,10.25378/janelia.5527675,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0249.swc,1084.0,PRE,,1084.0,PRE
147,AA0652,10.25378/janelia.7658150,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0652.swc,648.0,MOp5,,648.0,MOp5
148,AA0440,10.25378/janelia.7614341,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0440.swc,767.0,MOs5,5,993.0,MOs
149,AA1534,n/a,2020-09-15T04:00:00.000Z,Vgat-Cre,??,GFP; AF488,AA1534.swc,852.0,PARN,,852.0,PARN
150,AA0122,10.25378/janelia.5527240,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0122.swc,630.0,ORBl5,5,723.0,ORBl
151,AA0570,10.25378/janelia.7649828,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0570.swc,1037.0,POST,,1037.0,POST
152,AA0949,10.25378/janelia.7804055,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0949.swc,778.0,VISp5,5,385.0,VISp
153,AA0125,10.25378/janelia.5527249,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0125.swc,1037.0,POST,,1037.0,POST
154,AA1173,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1173.swc,685.0,VM,,685.0,VM
155,AA0803,10.25378/janelia.7739558,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0803.swc,962.0,MOs2/3,2/3,993.0,MOs
156,AA1092,10.25378/janelia.7825394,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1092.swc,867.0,PB,,867.0,PB
157,AA0870,10.25378/janelia.7742552,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0870.swc,304.0,PL2/3,2/3,972.0,PL
158,AA0638,10.25378/janelia.7658078,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0638.swc,33.0,VISp6a,6a,385.0,VISp
159,AA1079,10.25378/janelia.7825301,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1079.swc,728.0,arb,,728.0,arb
160,AA0927,10.25378/janelia.7803770,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0927.swc,648.0,MOp5,,648.0,MOp5
161,AA0538,10.25378/janelia.7640099,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0538.swc,1084.0,PRE,,1084.0,PRE
162,AA0952,10.25378/janelia.7804067,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0952.swc,,,,,
163,AA0959,10.25378/janelia.7804100,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0959.swc,382.0,CA1,,382.0,CA1
164,AA1104,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1104.swc,1020.0,PO,,1020.0,PO
165,AA0738,10.25378/janelia.7707323,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0738.swc,962.0,MOs2/3,2/3,993.0,MOs
166,AA0678,10.25378/janelia.7704227,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0678.swc,312782594.0,VISli6a,6a,312782574.0,VISli
167,AA0588,10.25378/janelia.7649933,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0588.swc,648.0,MOp5,,648.0,MOp5
168,AA0997,10.25378/janelia.7821956,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0997.swc,463.0,CA3,,463.0,CA3
169,AA0971,10.25378/janelia.7804415,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0971.swc,976.0,CENT2,,976.0,CENT2
170,AA0560,10.25378/janelia.7649456,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0560.swc,502.0,SUB,,502.0,SUB
171,AA0827,10.25378/janelia.7739768,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0827.swc,502.0,SUB,,502.0,SUB
172,AA1077,10.25378/janelia.7825265,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1077.swc,955.0,LRNm,,955.0,LRNm
173,AA0950,10.25378/janelia.7804061,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0950.swc,437.0,SPVI,,437.0,SPVI
174,AA1192,n/a,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1192.swc,1031.0,GPi,,1031.0,GPi
175,AA0914,10.25378/janelia.7780883,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0914.swc,962.0,MOs2/3,2/3,993.0,MOs
176,AA0940,10.25378/janelia.7803995,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0940.swc,606826659.0,MMd,,606826659.0,MMd
177,AA0514,10.25378/janelia.7639817,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0514.swc,128.0,MRN,,128.0,MRN
178,AA0754,10.25378/janelia.7710017,2018-06-14T17:03:18.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,anti-GFP 2x NucID J25,AA0754.swc,733.0,VPM,,733.0,VPM
179,AA0003,10.25378/janelia.5520055,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0003.swc,943.0,MOp2/3,,943.0,MOp2/3
180,AA1121,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1121.swc,962.0,MOs2/3,2/3,993.0,MOs
181,AA0679,10.25378/janelia.7704230,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0679.swc,74.0,VISl6a,6a,409.0,VISl
182,AA0500,10.25378/janelia.7619336,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0500.swc,502.0,SUB,,502.0,SUB
183,AA0385,10.25378/janelia.7614044,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0385.swc,10703.0,DG-mo,,10703.0,DG-mo
184,AA0168,10.25378/janelia.5527402,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0168.swc,1084.0,PRE,,1084.0,PRE
185,AA0550,10.25378/janelia.7640204,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0550.swc,1021.0,MOs6a,6a,993.0,MOs
186,AA0770,10.25378/janelia.7710089,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0770.swc,1021.0,MOs6a,6a,993.0,MOs
187,AA0220,10.25378/janelia.5527570,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0220.swc,946.0,PH,,946.0,PH
188,AA0976,10.25378/janelia.7804451,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0976.swc,1033.0,COPY,,1033.0,COPY
189,AA0812,10.25378/janelia.7739693,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0812.swc,1037.0,POST,,1037.0,POST
190,AA0349,10.25378/janelia.7613813,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0349.swc,1020.0,PO,,1020.0,PO
191,AA0106,10.25378/janelia.5526697,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0106.swc,767.0,MOs5,5,993.0,MOs
192,AA0813,10.25378/janelia.7739702,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0813.swc,1084.0,PRE,,1084.0,PRE
193,AA0424,10.25378/janelia.7614242,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0424.swc,962.0,MOs2/3,2/3,993.0,MOs
194,AA0062,10.25378/janelia.5521789,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0062.swc,1021.0,MOs6a,6a,993.0,MOs
195,AA1492,n/a,2020-01-23T05:00:00.000Z,Sim1-Cre,syn-FLEX-TRE-2tTA;TREx7-GFP,GFP,AA1492.swc,672.0,CP,,672.0,CP
196,AA0260,10.25378/janelia.5527714,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0260.swc,443.0,dhc,,443.0,dhc
197,AA0047,10.25378/janelia.5521732,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0047.swc,907.0,PCN,,907.0,PCN
198,AA0987,10.25378/janelia.7804550,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0987.swc,313.0,MB,,313.0,MB
199,AA1437,n/a,2020-02-24T05:00:00.000Z,Vglut2-Cre,syn-FLEX-TRE-2tTA; TREx7-GFP,GFP; AF488,AA1437.swc,741.0,VPMpc,,741.0,VPMpc
200,AA0107,10.25378/janelia.5526700,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0107.swc,844.0,MOp6a,,844.0,MOp6a
201,AA0619,10.25378/janelia.7655735,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0619.swc,305.0,VISp6b,6b,385.0,VISp
202,AA0226,10.25378/janelia.5527591,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0226.swc,685.0,VM,,685.0,VM
203,AA1124,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1124.swc,962.0,MOs2/3,2/3,993.0,MOs
204,AA0423,10.25378/janelia.7614239,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0423.swc,502.0,SUB,,502.0,SUB
205,AA0388,10.25378/janelia.7614065,2017-09-25T17:59:45.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0388.swc,629.0,VAL,,629.0,VAL
206,AA0045,10.25378/janelia.5521726,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0045.swc,844.0,MOp6a,,844.0,MOp6a
207,AA0186,10.25378/janelia.5527462,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0186.swc,1021.0,MOs6a,6a,993.0,MOs
208,AA1083,10.25378/janelia.7825319,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1083.swc,437.0,SPVI,,437.0,SPVI
209,AA0178,10.25378/janelia.5527435,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/5.FLEX-eGFP,eGFP,AA0178.swc,803.0,PAL,,803.0,PAL
210,AA0830,10.25378/janelia.7739777,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0830.swc,502.0,SUB,,502.0,SUB
211,AA0151,10.25378/janelia.5527348,2017-02-22T22:37:17.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP;,AA0151.swc,632.0,DG-sg,,632.0,DG-sg
212,AA0806,10.25378/janelia.7739630,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0806.swc,971.0,fp,,971.0,fp
213,AA1064,10.25378/janelia.7825172,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1064.swc,354.0,MY,,354.0,MY
214,AA1436,n/a,2020-02-24T05:00:00.000Z,Vglut2-Cre,syn-FLEX-TRE-2tTA; TREx7-GFP,GFP; AF488,AA1436.swc,155.0,LD,,155.0,LD
215,AA0723,10.25378/janelia.7707176,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0723.swc,1084.0,PRE,,1084.0,PRE
216,AA1025,10.25378/janelia.7822091,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1025.swc,1056.0,ANcr1,,1056.0,ANcr1
217,AA0201,10.25378/janelia.5527513,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0201.swc,741.0,VPMpc,,741.0,VPMpc
218,AA0320,10.25378/janelia.7613465,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0320.swc,440.0,ORBl6a,6a,723.0,ORBl
219,AA0795,10.25378/janelia.7739519,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0795.swc,962.0,MOs2/3,2/3,993.0,MOs
220,AA0351,10.25378/janelia.7613819,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0351.swc,629.0,VAL,,629.0,VAL
221,AA0571,10.25378/janelia.7649831,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0571.swc,632.0,DG-sg,,632.0,DG-sg
222,AA0050,10.25378/janelia.5521744,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0050.swc,907.0,PCN,,907.0,PCN
223,AA0194,10.25378/janelia.5527489,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0194.swc,502.0,SUB,,502.0,SUB
224,AA0876,10.25378/janelia.7742576,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0876.swc,1021.0,MOs6a,6a,993.0,MOs
225,AA0731,10.25378/janelia.7707275,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0731.swc,484682470.0,ProS,,484682470.0,ProS
226,AA1233,n/a,2019-04-17T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,Rb anti-GFP/AF488,AA1233.swc,733.0,VPM,,733.0,VPM
227,AA0846,10.25378/janelia.7739927,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0846.swc,767.0,MOs5,5,993.0,MOs
228,AA0933,10.25378/janelia.7803890,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0933.swc,606826659.0,MMd,,606826659.0,MMd
229,AA0706,10.25378/janelia.7704389,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0706.swc,502.0,SUB,,502.0,SUB
230,AA0936,10.25378/janelia.7803977,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0936.swc,732.0,MMme,,732.0,MMme
231,AA1094,10.25378/janelia.7825433,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1094.swc,484682470.0,ProS,,484682470.0,ProS
232,AA1010,10.25378/janelia.7822010,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1010.swc,931.0,PG,,931.0,PG
233,AA0218,10.25378/janelia.5527564,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0218.swc,1097.0,HY,,1097.0,HY
234,AA0064,10.25378/janelia.5521798,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0064.swc,767.0,MOs5,5,993.0,MOs
235,AA1074,10.25378/janelia.7825256,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1074.swc,574.0,TRN,,574.0,TRN
236,AA0962,10.25378/janelia.7804367,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0962.swc,1049.0,FL,,1049.0,FL
237,AA1050,10.25378/janelia.7825115,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1050.swc,648.0,MOp5,,648.0,MOp5
238,AA0199,10.25378/janelia.5527504,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0199.swc,484682470.0,ProS,,484682470.0,ProS
239,AA0433,10.25378/janelia.7614296,2017-10-31T15:26:25.000Z,C57BL/6N,EnvA-GFP-Rabies,Immunolabeled with anti-GFP; Alexa-488,AA0433.swc,795.0,PAG,,795.0,PAG
240,AA0735,10.25378/janelia.7707302,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0735.swc,767.0,MOs5,5,993.0,MOs
241,AA0405,10.25378/janelia.7614137,2017-09-25T17:59:45.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0405.swc,262.0,RT,,262.0,RT
242,AA1435,n/a,2020-02-24T05:00:00.000Z,Vglut2-Cre,syn-FLEX-TRE-2tTA; TREx7-GFP,GFP; AF488,AA1435.swc,155.0,LD,,155.0,LD
243,AA0235,10.25378/janelia.5527618,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0235.swc,767.0,MOs5,5,993.0,MOs
244,AA0177,10.25378/janelia.5527432,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/5.FLEX-eGFP,eGFP,AA0177.swc,797.0,ZI,,797.0,ZI
245,AA0823,10.25378/janelia.7739738,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0823.swc,502.0,SUB,,502.0,SUB
246,AA0113,10.25378/janelia.5526718,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0113.swc,919.0,ACAd6a,6a,39.0,ACAd
247,AA0441,10.25378/janelia.7614356,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0441.swc,767.0,MOs5,5,993.0,MOs
248,AA1164,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1164.swc,629.0,VAL,,629.0,VAL
249,AA0459,10.25378/janelia.7615664,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0459.swc,502.0,SUB,,502.0,SUB
250,AA0289,10.25378/janelia.5527822,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0289.swc,767.0,MOs5,5,993.0,MOs
251,AA0915,10.25378/janelia.7780892,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0915.swc,962.0,MOs2/3,2/3,993.0,MOs
252,AA0719,10.25378/janelia.7704464,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0719.swc,685.0,VM,,685.0,VM
253,AA0129,10.25378/janelia.5527261,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0129.swc,741.0,VPMpc,,741.0,VPMpc
254,AA0171,10.25378/janelia.5527414,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0171.swc,1084.0,PRE,,1084.0,PRE
