,Unnamed: 0,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym,model__fold,structure__safe_name,structure_merge__acronym
294,294,AA0347,10.25378/janelia.7613795,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0347.swc,629.0,VAL,,629.0,VAL,2.0,VAL_layernan,VAL
295,295,AA0301,10.25378/janelia.5542579,2017-08-10T19:05:24.000Z,Rorb-Cre-1,AAV2/1.FLEX-tdTomato,tdTomato,AA0301.swc,907.0,PCN,,907.0,PCN,1.0,PCN_layernan,PCN
296,296,AA0065,10.25378/janelia.5521801,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0065.swc,767.0,MOs5,5,993.0,MOs,1.0,MOs_layer5,Isocortex_layer5
297,297,AA0665,10.25378/janelia.7658252,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0665.swc,320.0,MOp1,,320.0,MOp1,5.0,MOp1_layernan,Isocortex_layernan
298,298,AA1056,10.25378/janelia.7825139,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1056.swc,445.0,SPVO,,445.0,SPVO,0.0,SPVO_layernan,SPVO
299,299,AA0036,10.25378/janelia.5521696,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0036.swc,767.0,MOs5,5,993.0,MOs,6.0,MOs_layer5,Isocortex_layer5
300,300,AA1075,10.25378/janelia.7825259,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1075.swc,101.0,VCO,,101.0,VCO,9.0,VCO_layernan,VCO
301,301,AA0238,10.25378/janelia.5527633,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0238.swc,211.0,ACAd2/3,2/3,39.0,ACAd,7.0,ACAd_layer23,Isocortex_layer2/3
302,302,AA0105,10.25378/janelia.5526694,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0105.swc,1021.0,MOs6a,6a,993.0,MOs,3.0,MOs_layer6a,Isocortex_layer6
303,303,AA1015,10.25378/janelia.7822034,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1015.swc,1007.0,SIM,,1007.0,SIM,4.0,SIM_layernan,SIM
304,304,AA0140,10.25378/janelia.5527297,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0140.swc,1021.0,MOs6a,6a,993.0,MOs,2.0,MOs_layer6a,Isocortex_layer6
305,305,AA0014,10.25378/janelia.5521624,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0014.swc,962.0,MOs2/3,2/3,993.0,MOs,2.0,MOs_layer23,Isocortex_layer2/3
306,306,AA0844,10.25378/janelia.7739921,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0844.swc,919.0,ACAd6a,6a,39.0,ACAd,3.0,ACAd_layer6a,Isocortex_layer6
307,307,AA0833,10.25378/janelia.7739795,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0833.swc,1021.0,MOs6a,6a,993.0,MOs,6.0,MOs_layer6a,Isocortex_layer6
308,308,AA0355,10.25378/janelia.7613831,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0355.swc,629.0,VAL,,629.0,VAL,3.0,VAL_layernan,VAL
309,309,AA0203,10.25378/janelia.5527519,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0203.swc,1084.0,PRE,,1084.0,PRE,3.0,PRE_layernan,PRE
310,310,AA0310,10.25378/janelia.7613411,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/5 Cre + GFP,eGFP,AA0310.swc,733.0,VPM,,733.0,VPM,5.0,VPM_layernan,VPM
311,311,AA0188,10.25378/janelia.5527468,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0188.swc,767.0,MOs5,5,993.0,MOs,4.0,MOs_layer5,Isocortex_layer5
312,312,AA0778,10.25378/janelia.7710131,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0778.swc,810.0,ACAv6a,,810.0,ACAv6a,6.0,ACAv6a_layernan,Isocortex_layernan
313,313,AA0398,10.25378/janelia.7614116,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0398.swc,1021.0,MOs6a,6a,993.0,MOs,9.0,MOs_layer6a,Isocortex_layer6
314,314,AA1101,,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1101.swc,356.0,PST,,356.0,PST,0.0,PST_layernan,PST
315,315,AA0848,10.25378/janelia.7739933,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0848.swc,502.0,SUB,,502.0,SUB,3.0,SUB_layernan,SUB
316,316,AA0688,10.25378/janelia.7704281,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0688.swc,502.0,SUB,,502.0,SUB,9.0,SUB_layernan,SUB
317,317,AA1021,10.25378/janelia.7822061,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1021.swc,728.0,arb,,728.0,arb,4.0,arb_layernan,arb
318,318,AA0963,10.25378/janelia.7804376,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0963.swc,1049.0,FL,,1049.0,FL,0.0,FL_layernan,FL
319,319,AA0653,10.25378/janelia.7658153,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0653.swc,656.0,MOs1,1,993.0,MOs,7.0,MOs_layer1,Isocortex_layer1
320,320,AA0644,10.25378/janelia.7658108,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0644.swc,767.0,MOs5,5,993.0,MOs,3.0,MOs_layer5,Isocortex_layer5
321,321,AA0845,10.25378/janelia.7739924,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0845.swc,772.0,ACAv5,5,48.0,ACAv,3.0,ACAv_layer5,Isocortex_layer5
322,322,AA1220,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1220.swc,470.0,STN,,470.0,STN,7.0,STN_layernan,STN
323,323,AA0110,10.25378/janelia.5526712,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0110.swc,1021.0,MOs6a,6a,993.0,MOs,1.0,MOs_layer6a,Isocortex_layer6
324,324,AA0664,10.25378/janelia.7658249,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0664.swc,767.0,MOs5,5,993.0,MOs,5.0,MOs_layer5,Isocortex_layer5
325,325,AA1547,,2021-06-06T04:00:00.000Z,Vglut1-cre,virus not found,GFP,AA1547.swc,733.0,VPM,,733.0,VPM,9.0,VPM_layernan,VPM
326,326,AA0074,10.25378/janelia.5521804,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0074.swc,599.0,CM,,599.0,CM,3.0,CM_layernan,CM
327,327,AA0483,10.25378/janelia.7616000,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0483.swc,1084.0,PRE,,1084.0,PRE,5.0,PRE_layernan,PRE
328,328,AA0918,10.25378/janelia.7780904,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0918.swc,255.0,AV,,255.0,AV,7.0,AV_layernan,AV
329,329,AA1084,10.25378/janelia.7825322,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1084.swc,429.0,SPVC,,429.0,SPVC,0.0,SPVC_layernan,SPVC
330,330,AA0807,10.25378/janelia.7739642,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0807.swc,211.0,ACAd2/3,2/3,39.0,ACAd,3.0,ACAd_layer23,Isocortex_layer2/3
331,331,AA0967,10.25378/janelia.7804397,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0967.swc,1033.0,COPY,,1033.0,COPY,5.0,COPY_layernan,COPY
332,332,AA0673,10.25378/janelia.7704209,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0673.swc,320.0,MOp1,,320.0,MOp1,7.0,MOp1_layernan,Isocortex_layernan
333,333,AA1008,10.25378/janelia.7822004,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1008.swc,574.0,TRN,,574.0,TRN,7.0,TRN_layernan,TRN
334,334,AA0345,10.25378/janelia.7613783,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0345.swc,629.0,VAL,,629.0,VAL,5.0,VAL_layernan,VAL
335,335,AA0972,10.25378/janelia.7804427,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0972.swc,976.0,CENT2,,976.0,CENT2,2.0,CENT2_layernan,CENT2
336,336,AA0391,10.25378/janelia.7614080,2017-09-25T17:59:45.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0391.swc,629.0,VAL,,629.0,VAL,0.0,VAL_layernan,VAL
337,337,AA0166,10.25378/janelia.5527396,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0166.swc,10703.0,DG-mo,,10703.0,DG-mo,3.0,DG-mo_layernan,DG-mo
338,338,AA1048,10.25378/janelia.7822319,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1048.swc,732.0,MMme,,732.0,MMme,1.0,MMme_layernan,MMme
339,339,AA0116,10.25378/janelia.5526727,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0116.swc,962.0,MOs2/3,2/3,993.0,MOs,0.0,MOs_layer23,Isocortex_layer2/3
340,340,AA0516,10.25378/janelia.7639826,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0516.swc,225.0,SPIV,,225.0,SPIV,6.0,SPIV_layernan,SPIV
341,341,AA0256,10.25378/janelia.5527699,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0256.swc,1084.0,PRE,,1084.0,PRE,3.0,PRE_layernan,PRE
342,342,AA0676,10.25378/janelia.7704221,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0676.swc,484682520.0,or,,484682520.0,or,6.0,or_layernan,or
343,343,AA0331,10.25378/janelia.7613672,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/5 Cre + GFP,eGFP,AA0331.swc,629.0,VAL,,629.0,VAL,4.0,VAL_layernan,VAL
344,344,AA0454,10.25378/janelia.7615388,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0454.swc,1084.0,PRE,,1084.0,PRE,0.0,PRE_layernan,PRE
345,345,AA1286,,2019-05-27T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488,AA1286.swc,821.0,VISp2/3,2/3,385.0,VISp,6.0,VISp_layer23,Isocortex_layer2/3
346,346,AA0164,10.25378/janelia.5527390,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/5.FLEX-eGFP,eGFP,AA0164.swc,685.0,VM,,685.0,VM,5.0,VM_layernan,VM
347,347,AA0327,10.25378/janelia.7613498,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0327.swc,767.0,MOs5,5,993.0,MOs,8.0,MOs_layer5,Isocortex_layer5
348,348,AA0244,10.25378/janelia.5527654,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0244.swc,1084.0,PRE,,1084.0,PRE,4.0,PRE_layernan,PRE
349,349,AA0006,10.25378/janelia.5520223,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0006.swc,943.0,MOp2/3,,943.0,MOp2/3,8.0,MOp2/3_layernan,Isocortex_layernan
350,350,AA0195,10.25378/janelia.5527492,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0195.swc,502.0,SUB,,502.0,SUB,1.0,SUB_layernan,SUB
351,351,AA0343,10.25378/janelia.7613768,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0343.swc,1020.0,PO,,1020.0,PO,7.0,PO_layernan,PO
352,352,AA0529,10.25378/janelia.7639877,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0529.swc,1084.0,PRE,,1084.0,PRE,6.0,PRE_layernan,PRE
353,353,AA0473,10.25378/janelia.7615961,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0473.swc,1021.0,MOs6a,6a,993.0,MOs,4.0,MOs_layer6a,Isocortex_layer6
354,354,AA0184,10.25378/janelia.5527453,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0184.swc,767.0,MOs5,5,993.0,MOs,1.0,MOs_layer5,Isocortex_layer5
355,355,AA0520,10.25378/janelia.7639838,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0520.swc,155.0,LD,,155.0,LD,0.0,LD_layernan,LD
356,356,AA0495,10.25378/janelia.7616057,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0495.swc,502.0,SUB,,502.0,SUB,4.0,SUB_layernan,SUB
357,357,AA1039,10.25378/janelia.7822277,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1039.swc,606826659.0,MMd,,606826659.0,MMd,5.0,MMd_layernan,MMd
358,358,AA0400,10.25378/janelia.7614122,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0400.swc,767.0,MOs5,5,993.0,MOs,2.0,MOs_layer5,Isocortex_layer5
359,359,AA0227,10.25378/janelia.5527594,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0227.swc,443.0,dhc,,443.0,dhc,5.0,dhc_layernan,dhc
360,360,AA1024,10.25378/janelia.7822088,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1024.swc,1056.0,ANcr1,,1056.0,ANcr1,6.0,ANcr1_layernan,ANcr1
361,361,AA0912,10.25378/janelia.7780877,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0912.swc,1037.0,POST,,1037.0,POST,0.0,POST_layernan,POST
362,362,AA1045,10.25378/janelia.7822310,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1045.swc,687.0,RSPv5,5,886.0,RSPv,4.0,RSPv_layer5,Isocortex_layer5
363,363,AA1043,10.25378/janelia.7822304,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1043.swc,844.0,MOp6a,,844.0,MOp6a,7.0,MOp6a_layernan,Isocortex_layernan
364,364,AA1179,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1179.swc,718.0,VPL,,718.0,VPL,5.0,VPL_layernan,VPL
365,365,AA1057,10.25378/janelia.7825142,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1057.swc,931.0,PG,,931.0,PG,5.0,PG_layernan,PG
366,366,AA1055,10.25378/janelia.7825136,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1055.swc,771.0,P,,771.0,P,4.0,P_layernan,P
367,367,AA0192,10.25378/janelia.5527480,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0192.swc,10703.0,DG-mo,,10703.0,DG-mo,5.0,DG-mo_layernan,DG-mo
368,368,AA0608,10.25378/janelia.7650065,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0608.swc,194.0,LHA,,194.0,LHA,5.0,LHA_layernan,LHA
369,369,AA0380,10.25378/janelia.7614011,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0380.swc,502.0,SUB,,502.0,SUB,2.0,SUB_layernan,SUB
370,370,AA0010,10.25378/janelia.5521600,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0010.swc,767.0,MOs5,5,993.0,MOs,7.0,MOs_layer5,Isocortex_layer5
371,371,AA0431,10.25378/janelia.7614287,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0431.swc,354.0,MY,,354.0,MY,2.0,MY_layernan,MY
372,372,AA0945,10.25378/janelia.7804034,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0945.swc,1070.0,SSp-bfd5,5,329.0,SSp-bfd,8.0,SSp-bfd_layer5,Isocortex_layer5
373,373,AA0955,10.25378/janelia.7804082,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0955.swc,19.0,IG,,19.0,IG,2.0,IG_layernan,IG
374,374,AA0366,10.25378/janelia.7613906,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0366.swc,629.0,VAL,,629.0,VAL,2.0,VAL_layernan,VAL
375,375,AA0579,10.25378/janelia.7649861,2018-04-03T15:08:17.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0579.swc,629.0,VAL,,629.0,VAL,5.0,VAL_layernan,VAL
376,376,AA0222,10.25378/janelia.5527576,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0222.swc,946.0,PH,,946.0,PH,3.0,PH_layernan,PH
377,377,AA0323,10.25378/janelia.7613477,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0323.swc,440.0,ORBl6a,6a,723.0,ORBl,1.0,ORBl_layer6a,Isocortex_layer6
378,378,AA0817,10.25378/janelia.7739717,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0817.swc,767.0,MOs5,5,993.0,MOs,0.0,MOs_layer5,Isocortex_layer5
379,379,AA0078,10.25378/janelia.5521843,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0078.swc,382.0,CA1,,382.0,CA1,4.0,CA1_layernan,CA1
380,380,AA0574,10.25378/janelia.7649843,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0574.swc,443.0,dhc,,443.0,dhc,1.0,dhc_layernan,dhc
381,381,AA0561,10.25378/janelia.7649471,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0561.swc,10703.0,DG-mo,,10703.0,DG-mo,2.0,DG-mo_layernan,DG-mo
382,382,AA0736,10.25378/janelia.7707311,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0736.swc,382.0,CA1,,382.0,CA1,8.0,CA1_layernan,CA1
383,383,AA0960,10.25378/janelia.7804352,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0960.swc,463.0,CA3,,463.0,CA3,4.0,CA3_layernan,CA3
384,384,AA0720,10.25378/janelia.7707104,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0720.swc,1084.0,PRE,,1084.0,PRE,9.0,PRE_layernan,PRE
385,385,AA1537,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1537.swc,767.0,MOs5,5,993.0,MOs,9.0,MOs_layer5,Isocortex_layer5
386,386,AA1088,10.25378/janelia.7825358,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1088.swc,1102.0,SSp-m6a,6a,345.0,SSp-m,3.0,SSp-m_layer6a,Isocortex_layer6
387,387,AA1131,,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1131.swc,767.0,MOs5,5,993.0,MOs,6.0,MOs_layer5,Isocortex_layer5
388,388,AA1005,10.25378/janelia.7821995,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1005.swc,574.0,TRN,,574.0,TRN,8.0,TRN_layernan,TRN
389,389,AA0647,10.25378/janelia.7658135,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0647.swc,767.0,MOs5,5,993.0,MOs,0.0,MOs_layer5,Isocortex_layer5
390,390,AA0797,10.25378/janelia.7739534,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0797.swc,767.0,MOs5,5,993.0,MOs,7.0,MOs_layer5,Isocortex_layer5
391,391,AA1417,,2019-10-04T04:00:00.000Z,Sim1-Cre,syn-FLEX-TRE-2tTA; TREx7-3xGFP,GFP,AA1417.swc,1022.0,GPe,,1022.0,GPe,3.0,GPe_layernan,GPe
392,392,AA0397,10.25378/janelia.7614113,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0397.swc,767.0,MOs5,5,993.0,MOs,4.0,MOs_layer5,Isocortex_layer5
393,393,AA0324,10.25378/janelia.7613486,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0324.swc,767.0,MOs5,5,993.0,MOs,3.0,MOs_layer5,Isocortex_layer5
394,394,AA1539,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1539.swc,844.0,MOp6a,,844.0,MOp6a,0.0,MOp6a_layernan,Isocortex_layernan
395,395,AA0865,10.25378/janelia.7740089,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0865.swc,962.0,MOs2/3,2/3,993.0,MOs,5.0,MOs_layer23,Isocortex_layer2/3
396,396,AA0019,10.25378/janelia.5521639,2017-01-15T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0019.swc,255.0,AV,,255.0,AV,4.0,AV_layernan,AV
397,397,AA0474,10.25378/janelia.7615964,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0474.swc,962.0,MOs2/3,2/3,993.0,MOs,8.0,MOs_layer23,Isocortex_layer2/3
398,398,AA0801,10.25378/janelia.7739549,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0801.swc,211.0,ACAd2/3,2/3,39.0,ACAd,9.0,ACAd_layer23,Isocortex_layer2/3
399,399,AA0684,10.25378/janelia.7704269,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0684.swc,502.0,SUB,,502.0,SUB,7.0,SUB_layernan,SUB
